primary_area,papers,percent
deep_learning->large_language_models,1155,18.214792619460653
applications->computer_vision,515,8.12174735846081
deep_learning->generative_models_and_autoencoders,349,5.503863743888976
applications->chemistry_physics_and_earth_sciences,202,3.1856174105030752
applications->health_medicine,163,2.570572464910897
applications->robotics,158,2.491720548809336
social_aspects->accountability_transparency_and_interpretability,140,2.2078536508437154
theory->learning_theory,123,1.9397571360984072
reinforcement_learning,121,1.9082163696577827
general_machine_learning->evaluation,121,1.9082163696577827
deep_learning->graph_neural_networks,112,1.7662829206749724
social_aspects->safety,109,1.7189717710140355
deep_learning->foundation_models,109,1.7189717710140355
applications->language_speech_and_dialog,108,1.7032013877937233
applications->everything_else,97,1.5297271723702885
applications,93,1.4666456394890395
applications->neuroscience_cognitive_science,92,1.4508752562687273
deep_learning,91,1.435104873048415
general_machine_learning->causality,87,1.372023340167166
general_machine_learning->transfer_multitask_and_metalearning,86,1.3562529569468538
deep_learning->robustness,86,1.3562529569468538
deep_learning->other_representation_learning,86,1.3562529569468538
general_machine_learning->representation_learning,84,1.3247121905062293
social_aspects->privacy,78,1.2300898911843559
reinforcement_learning->deep_rl,77,1.2143195079640434
general_machine_learning,76,1.1985491247437312
deep_learning->theory,75,1.182778741523419
deep_learning->attention_mechanisms,74,1.1670083583031068
deep_learning->algorithms,69,1.0881564422015455
applications->time_series,68,1.0723860589812333
social_aspects->security,67,1.056615675760921
deep_learning->sequential_models_time_series,60,0.9462229932187353
deep_learning->everything_else,58,0.9146822267781107
optimization,56,0.8831414603374862
reinforcement_learning->batchoffline,53,0.8358303106765494
theory->deep_learning,53,0.8358303106765494
theory->online_learning_and_bandits,50,0.7885191610156127
social_aspects->alignment,50,0.7885191610156127
probabilistic_methods->bayesian_models_and_methods,47,0.741208011354676
deep_learning->selfsupervised_learning,46,0.7254376281343636
reinforcement_learning->multiagent,45,0.7096672449140514
theory->game_theory,44,0.6938968616937392
probabilistic_methods,43,0.6781264784734269
general_machine_learning->unsupervised_and_semisupervised_learning,41,0.6465857120328024
probabilistic_methods->monte_carlo_and_sampling_methods,40,0.6308153288124901
general_machine_learning->clustering,40,0.6308153288124901
optimization->discrete_and_combinatorial_optimization,40,0.6308153288124901
theory,38,0.5992745623718656
optimization->large_scale_parallel_and_distributed,37,0.5835041791515534
theory->reinforcement_learning_and_planning,37,0.5835041791515534
optimization->zeroorder_and_blackbox_optimization,33,0.5204226462703043
general_machine_learning->hardware_and_software,32,0.5046522630499921
theory->everything_else,31,0.48888187982967984
general_machine_learning->sequential_network_and_time_series_modeling,31,0.48888187982967984
general_machine_learning->everything_else,31,0.48888187982967984
social_aspects->fairness,30,0.47311149660936763
theory->optimization,30,0.47311149660936763
optimization->nonconvex,28,0.4415707301687431
theory->probabilistic_methods,27,0.42580034694843083
general_machine_learning->online_learning_active_learning_and_bandits,26,0.4100299637281186
social_aspects,24,0.3784891972874941
social_aspects->robustness,22,0.3469484308468696
general_machine_learning->supervised_learning,20,0.31540766440624507
reinforcement_learning->everything_else,19,0.2996372811859328
applications->social_sciences,18,0.2838668979656206
optimization->stochastic,17,0.2680965147453083
theory->domain_adaptation_and_transfer_learning,16,0.25232613152499606
reinforcement_learning->online,15,0.23655574830468382
general_machine_learning->scalable_algorithms,15,0.23655574830468382
probabilistic_methods->everything_else,15,0.23655574830468382
optimization->convex,14,0.22078536508437155
general_machine_learning->kernel_methods,13,0.2050149818640593
probabilistic_methods->variational_inference,11,0.1734742154234348
social_aspects->everything_else,11,0.1734742154234348
reinforcement_learning->planning,11,0.1734742154234348
reinforcement_learning->policy_search,10,0.15770383220312253
probabilistic_methods->gaussian_processes,9,0.1419334489828103
probabilistic_methods->graphical_models,8,0.12616306576249803
reinforcement_learning->inverse,8,0.12616306576249803
optimization->everything_else,5,0.07885191610156127
probabilistic_methods->structure_learning,5,0.07885191610156127
theory->active_learning_and_interactive_learning,3,0.04731114966093676
applications->energy,3,0.04731114966093676
probabilistic_methods->spectral_methods,1,0.015770383220312253
