level,field,missing,percent
paper,forum_id,0,0.0
paper,submission_number,0,0.0
paper,title,0,0.0
paper,abstract,0,0.0
paper,authors,0,0.0
paper,keywords,0,0.0
paper,primary_area,0,0.0
paper,tldr,2406,37.943542028071285
paper,decision,0,0.0
paper,decision_comment,0,0.0
paper,num_reviews,0,0.0
paper,paper_url,0,0.0
review,confidence,0,0.0
review,final_justification,5098,20.91229797358274
review,key_questions_for_authors,0,0.0
review,limitations,0,0.0
review,originality,0,0.0
review,overall_recommendation,0,0.0
review,presentation,0,0.0
review,review_id,0,0.0
review,reviewer,0,0.0
review,significance,0,0.0
review,soundness,0,0.0
review,strengths_and_weaknesses,0,0.0
review,summary,0,0.0
