field,group,n,mean,sd,median,min,max
soundness,full_human,6341,2.855477579771855,0.3123906807334388,2.75,2.0,4.0
soundness,matched_human,175,2.8568571428571428,0.3015508476225514,2.75,2.0,3.5
soundness,pseudo_label,175,2.9371428571428573,0.306149345913533,3.0,2.0,4.0
presentation,full_human,6341,2.8907690690217103,0.3371448007035571,3.0,1.0,4.0
presentation,matched_human,175,2.931809523809524,0.33463953162835336,3.0,2.0,3.75
presentation,pseudo_label,175,2.942857142857143,0.3509312031717982,3.0,2.0,4.0
significance,full_human,6341,2.7493481574935603,0.3195546199407235,2.75,1.5,4.0
significance,matched_human,175,2.7544761904761907,0.31133435769965173,2.75,2.0,3.5
significance,pseudo_label,175,2.8971428571428572,0.34028868262186657,3.0,2.0,4.0
originality,full_human,6341,2.7811202228880827,0.3269845039571281,2.75,1.5,4.0
originality,matched_human,175,2.7863809523809526,0.32180780401627923,2.75,1.75,3.5
originality,pseudo_label,175,2.8457142857142856,0.4209614454885969,3.0,2.0,4.0
overall_recommendation,full_human,6341,4.146822267781107,0.37715129432744293,4.2,2.6666666666666665,5.5
overall_recommendation,matched_human,175,4.170190476190476,0.3694970372992024,4.25,3.0,5.25
overall_recommendation,pseudo_label,175,4.177142857142857,0.3828850809599074,4.0,4.0,5.0
confidence,full_human,6341,3.4615964884613364,0.45376835617353095,3.5,1.5,5.0
confidence,matched_human,175,3.464380952380952,0.39297939415801975,3.5,2.3333333333333335,4.666666666666667
confidence,pseudo_label,175,3.9714285714285715,0.1670766713862551,4.0,3.0,4.0
